lane	tile	row	col	rowshift	colshift
2	2653	1	1	0	0.1715
2	2654	1	2	0	0.1715
2	2655	1	3	0	0.1715
2	2656	1	4	0	0.1715
2	2657	1	5	0	0.1715
2	2658	1	6	0	0.1715
2	2659	1	7	0	0.1715
2	2660	1	8	0	0.1715
2	2661	1	9	0	0.1715
2	2662	1	10	0	0.1715
2	2663	1	11	0	0.1715
2	2664	1	12	0	0.1715
2	2665	1	13	0	0.1715
2	2666	1	14	0	0.1715
2	2667	1	15	0	0.1715
2	2668	1	16	0	0.1715
2	2669	1	17	0	0.1715
2	2670	1	18	0	0.1715
2	2553	2	1	0	0
2	2554	2	2	0	0
2	2555	2	3	0	0
2	2556	2	4	0	0
2	2557	2	5	0	0
2	2558	2	6	0	0
2	2559	2	7	0	0
2	2560	2	8	0	0
2	2561	2	9	0	0
2	2562	2	10	0	0
2	2563	2	11	0	0
2	2564	2	12	0	0
2	2565	2	13	0	0
2	2566	2	14	0	0
2	2567	2	15	0	0
2	2568	2	16	0	0
2	2569	2	17	0	0
2	2570	2	18	0	0
2	2453	3	1	0	0.1715
2	2454	3	2	0	0.1715
2	2455	3	3	0	0.1715
2	2456	3	4	0	0.1715
2	2457	3	5	0	0.1715
2	2458	3	6	0	0.1715
2	2459	3	7	0	0.1715
2	2460	3	8	0	0.1715
2	2461	3	9	0	0.1715
2	2462	3	10	0	0.1715
2	2463	3	11	0	0.1715
2	2464	3	12	0	0.1715
2	2465	3	13	0	0.1715
2	2466	3	14	0	0.1715
2	2467	3	15	0	0.1715
2	2468	3	16	0	0.1715
2	2469	3	17	0	0.1715
2	2470	3	18	0	0.1715
2	2353	4	1	0	0
2	2354	4	2	0	0
2	2355	4	3	0	0
2	2356	4	4	0	0
2	2357	4	5	0	0
2	2358	4	6	0	0
2	2359	4	7	0	0
2	2360	4	8	0	0
2	2361	4	9	0	0
2	2362	4	10	0	0
2	2363	4	11	0	0
2	2364	4	12	0	0
2	2365	4	13	0	0
2	2366	4	14	0	0
2	2367	4	15	0	0
2	2368	4	16	0	0
2	2369	4	17	0	0
2	2370	4	18	0	0
2	2253	5	1	0	0.1715
2	2254	5	2	0	0.1715
2	2255	5	3	0	0.1715
2	2256	5	4	0	0.1715
2	2257	5	5	0	0.1715
2	2258	5	6	0	0.1715
2	2259	5	7	0	0.1715
2	2260	5	8	0	0.1715
2	2261	5	9	0	0.1715
2	2262	5	10	0	0.1715
2	2263	5	11	0	0.1715
2	2264	5	12	0	0.1715
2	2265	5	13	0	0.1715
2	2266	5	14	0	0.1715
2	2267	5	15	0	0.1715
2	2268	5	16	0	0.1715
2	2269	5	17	0	0.1715
2	2270	5	18	0	0.1715
2	2153	6	1	0	0
2	2154	6	2	0	0
2	2155	6	3	0	0
2	2156	6	4	0	0
2	2157	6	5	0	0
2	2158	6	6	0	0
2	2159	6	7	0	0
2	2160	6	8	0	0
2	2161	6	9	0	0
2	2162	6	10	0	0
2	2163	6	11	0	0
2	2164	6	12	0	0
2	2165	6	13	0	0
2	2166	6	14	0	0
2	2167	6	15	0	0
2	2168	6	16	0	0
2	2169	6	17	0	0
2	2170	6	18	0	0
